county,"“0-4""",“5-9”,“10-14”,“15-19”,“20-24”,“25-29”,“30-34”,“35-39”,“40-44”,“45-49”,“50-54”,“55-59”,“60-64”,“65-69”,“70-74”,“75-79”,“80+”
Baringo,95031,99555,101592,80948,61845,47258,39840,28725,24521,21490,15825,13141,11231,8898,7502,3701,5645
Bomet,110976,122460,131348,110009,81192,65986,63087,39036,36211,32341,18818,18251,14126,10667,8505,4816,7832
Bungoma,219174,253308,266954,215822,139777,108589,103615,71248,66901,53425,41126,39694,30767,21723,15405,9868,13131
Busia,113304,127283,138934,117292,76770,58577,55436,39462,36218,27311,24297,22322,18115,13216,10429,6154,8524
Elgeyo Marakwet,60932,64701,65541,55252,42866,32982,28948,20642,18201,16374,10363,10366,8082,6631,5262,3051,4273
Embu,61547,60869,67968,63464,52841,45160,46734,42106,36326,30486,24732,22389,15174,13355,9793,5353,10271
Garissa,111616,135216,136663,118095,85073,63268,52509,36682,32373,19282,17392,9343,9420,4797,4599,1708,3278
Homa Bay,155694,166961,181334,136787,95992,75504,74303,49941,43999,32152,23576,24500,21795,17352,14234,7394,10400
Isiolo,40617,41145,38914,31154,24723,20476,18550,12687,9781,7123,5478,4830,4401,2611,2422,1112,1968
Kajiado,156328,145595,129632,101368,118819,115153,99833,70574,53333,41039,28824,19622,13927,8721,6792,3398,4823
Kakamega,225919,268785,291977,238671,149584,114313,116791,84471,80721,63998,54212,49816,42378,31654,22824,14068,17326
Kericho,109558,118225,127017,107190,85577,73365,70110,44925,40497,34671,21071,20711,15737,11963,9157,4560,7402
Kiambu,278141,241800,227330,211921,268093,253961,229596,181328,143053,112600,82716,61991,38985,29975,23596,13520,18946
Kilifi,200831,206185,206772,172350,135391,111860,95962,63213,63106,46506,36041,30046,29594,21335,15301,8726,10526
Kirinyaga,57491,57285,60996,58069,46628,42154,49748,49220,42775,35967,29512,24981,15874,13427,10684,5464,10096
Kisii,143507,171950,195386,150167,102526,91072,93680,60737,53618,47900,29508,38615,30711,21529,15544,7877,12473
Kisumu,141070,147665,164523,134904,113040,96786,90298,62783,51143,34414,27481,25132,21696,16567,12768,6651,8603
Kitui,126190,144472,173446,151148,88720,67509,68691,56678,51344,47652,33819,29704,25004,22627,19456,10519,19165
Kwale,130290,131742,125289,97104,71795,62690,55453,39814,37815,28533,19501,16764,16965,12853,9437,4616,6129
Laikipia,65541,64244,65297,56460,43570,37273,37227,30620,26752,22239,18260,15252,10567,8564,7237,4242,5192
Lamu,18738,18746,18473,15152,13170,11636,10556,7861,7086,5870,4173,3768,2978,2197,1738,800,970
Machakos,146858,150560,166215,147120,131191,116987,114175,95837,81711,64890,47506,42586,36726,28081,19972,11081,20384
Makueni,96425,111402,136393,122859,79775,65884,66259,56527,49928,46855,32560,29243,26824,22999,17029,9371,17292
Mandera,161091,165159,149473,108344,72683,54909,44808,28922,26932,14743,12494,7402,7842,3792,4035,1574,3214
Marsabit,69160,75216,71431,57199,42954,34711,27856,17429,15515,11175,9731,6893,6604,4013,4616,1743,3515
Meru,170262,175050,194922,165251,132110,112830,117510,103956,86046,70961,48109,45991,35938,29440,24639,12007,20621
Migori,161426,171722,179630,134678,100838,79837,72576,47380,40686,31768,22109,20512,17109,12957,9767,5655,7734
Mombasa,147903,129986,115424,100733,139733,142628,122217,89113,71818,52267,33457,24072,16034,10243,6395,3045,3209
Muranga,110514,114251,117758,105467,75426,64798,71734,68897,62972,56803,45716,42222,30447,28212,24657,14953,21768
Nairobi,524987,432712,378550,351853,563019,583548,495470,345796,253162,174932,113949,76601,43984,26383,16354,7437,7948
Nakuru,273331,267494,274490,235458,212256,180817,170777,130178,107971,88232,63012,50698,33840,26554,20046,11635,15277
Nandi,105970,116134,126113,108741,80445,65340,65107,45099,40890,34611,23805,21436,16048,12636,9039,5989,8284
Narok,187896,199037,179417,124823,100613,82955,73302,48687,42215,34607,23502,18353,14373,9643,8053,4215,6145
Nyamira,64454,78757,93493,70393,44306,41698,45546,30775,28903,24653,16087,20128,16011,10869,8654,4264,6568
Nyandarua,69988,74903,82873,75568,48463,38926,42031,39224,35094,32229,26734,22256,14052,11319,9678,6714,8212
Nyeri,73098,75079,76522,73527,59169,49297,54585,53134,48038,43568,38668,32478,21518,18168,17194,10438,14642
Samburu,50681,52963,48343,36178,29248,22494,17697,10768,10032,8324,5497,4197,4619,2793,2910,1436,2138
Siaya,121658,137836,151148,117382,79649,65306,65321,47569,41157,30559,26902,25446,23769,20342,16566,9441,13090
Taita Taveta,38689,37363,39830,34826,29215,26157,24883,21815,18741,16455,12634,11247,9077,7227,5220,2960,4322
Tana River,53178,52969,46690,32932,27176,22160,17919,13500,11160,9702,7093,6050,5602,3616,2904,1362,1922
Tharaka-Nithi,40384,43202,48124,42701,31642,26849,27912,24423,21248,19990,13749,13914,11107,9193,7660,4083,6979
Trans Nzoia,129558,142922,149348,124544,85108,67949,64540,47308,44070,33676,25936,23095,17889,12677,9149,5407,7133
Turkana,131429,145125,142258,119323,94590,75817,57295,39987,33068,23632,17387,12009,11808,8098,7523,3587,4016
Uasin Gishu,140223,140552,146860,131931,127615,106195,93453,68218,56602,45361,29776,24776,16981,12643,8697,5717,7546
Vihiga,64638,78124,87659,73920,43079,32516,33417,27777,26092,22016,19564,18902,17993,15096,11762,7324,10113
Wajir,122827,137434,132378,98847,65600,56113,47679,32813,29895,15823,14198,7935,8030,3755,3810,1552,2523
West Pokot,113990,108323,95174,67781,53573,42109,35529,22138,19448,17000,11666,8388,8242,6752,5508,2527,3075