X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0.354364985,0.825372919,0.573054591,0.264766607,0.377157869,0.442894417,0.42362342,0.312384114,0.189608666,0.089080873,0.069097881,0.059474926,0.036506343,0.01786158,0.007260437,0.00507087
0.682106488,0.618702185,0.835923699,0.372525089,0.150619374,0.384333736,0.493689994,0.384368749,0.279891801,0.158115461,0.087643296,0.091196068,0.068897801,0.03046298,0.014097451,0.007225219
0.561014954,0.998565006,0.9608237,0.567346941,0.170263449,0.154259001,0.276007084,0.343867041,0.280057805,0.174639418,0.085915225,0.0501356,0.039311111,0.034464836,0.026496092,0.008185086
0.314156666,0.482118958,0.740789774,0.609652917,0.294364354,0.149921497,0.091381979,0.225822309,0.222538043,0.199101819,0.121259075,0.055495631,0.040728181,0.020382181,0.013196881,0.005836222
0.519279419,0.287291032,0.268037051,0.510117719,0.376381547,0.359446452,0.1208178,0.054299087,0.091483543,0.138503281,0.088783665,0.058026696,0.019836247,0.008388131,0.006000393,0.003019696
0.854739582,0.387736215,0.172229555,0.230171154,0.374074471,0.281933746,0.24100844,0.06465368,0.027855432,0.056272253,0.064894651,0.040069302,0.024196936,0.010531272,0.002468391,0.002998591
0.884323247,0.997022238,0.615232765,0.134073749,0.181100229,0.341435097,0.19695504,0.207208109,0.083163003,0.032605125,0.035144238,0.034611479,0.032072576,0.007593763,0.006250111,0.002270555
0.862029458,1.156972666,1.009097117,0.423415138,0.097449315,0.110037971,0.226883849,0.182908299,0.141997126,0.057654324,0.032045092,0.023910231,0.037031269,0.018647912,0.010391803,0.002128658
0.745285849,1.002296384,1.016401302,0.605944188,0.168387383,0.078731965,0.155973246,0.198631392,0.114424139,0.138504431,0.059087899,0.017075644,0.03596929,0.015412937,0.01386745,0.00528766
0.424420148,0.82514617,0.93251531,0.791310133,0.344600786,0.138544523,0.07138963,0.151204375,0.170977417,0.124746936,0.127254409,0.047395712,0.035509639,0.014358816,0.012769232,0.008254784
0.422407609,0.45033713,0.636162255,0.481045889,0.305698337,0.157116239,0.108393606,0.061323352,0.110817931,0.128660993,0.070123157,0.081525969,0.039164432,0.018155936,0.016088763,0.014043021
0.582562501,0.773103049,0.52572675,0.468733905,0.279293217,0.221915706,0.188759794,0.084709294,0.069903738,0.149277917,0.124633436,0.061290281,0.113630765,0.060353682,0.021324089,0.012410533
0.565201069,0.817985633,0.551227141,0.41552772,0.168129695,0.154788381,0.184803379,0.16670588,0.103757112,0.087825421,0.114175506,0.14183045,0.040275254,0.06895963,0.029632446,0.007123218
0.264727848,0.510664934,0.486815784,0.19210895,0.122436024,0.097100433,0.110882751,0.139117518,0.072882061,0.049277266,0.082295014,0.095800252,0.067531046,0.028957743,0.034826378,0.008332528
0.196691457,0.638063169,0.712539238,0.446046404,0.064117023,0.128846223,0.091734442,0.169109864,0.188193407,0.132974018,0.125890933,0.116157889,0.1183913,0.067010561,0.038097275,0.043662138
0.191325455,0.32018012,0.563161516,0.399936166,0.060447119,0.053449482,0.063662107,0.09921418,0.121930231,0.090989247,0.152519668,0.069547613,0.059061537,0.069562611,0.048999368,0.027062686