Age,M,F
0-4,3538565.00,3470885.00
5-9,3508133.00,3458314.00
10-14,3341547.00,3288073.00
15-19,2946154.00,2917853.00
20-24,2532152.00,2534425.00
25-29,2121557.00,2147323.00
30-34,1956453.00,1993608.00
35-39,1646940.00,1683036.00
40-44,1306419.00,1338246.00
45-49,1006246.00,1037740.00
50-54,744267.00,783921.00
55-59,546976.00,601292.00
60-64,391806.00,457739.00
65-69,263904.00,332530.00
70-74,149091.00,203771.00
75-79,71858.00,110092.00
80-84,36289.00,63903.00
85-89,11935.00,24026.00
90-94,1918.00,4381.00
95-99,170.00,421.00
100+,2.00,6.00