County,_Rural,_Urban,Rural,Urban,Total,Location_1,wider_area,x_location,y_location,Total_Population19,Male_populatio_2019,Female_population_2019,Households,Av_HH_Size,LandArea,Population_Density,Population_in_2009,Pop_change,Intersex_population_2019,total_size
Baringo,88.90%,11.10%,592892,73871,555561,"(0.512912, 35.952537)",8,4002.2364188399997,56.71267984," 666,763 "," 336,322 "," 330,428 "," 142,518 ",5," 10,976 ",61," 555,561 "," 111,202 ",13,666763
Bomet,85.20%,14.80%,745828,129861,891835,"(-0.690131, 35.278005)",13,3927.1475166,-76.30778467," 875,689 "," 434,287 "," 441,379 "," 187,641 ",5," 2,531 ",346," 724,186 "," 151,503 ",23,875689
Bungoma,78.30%,21.70%,1307683,362887,1375063,"(0.737046, 34.672536)",5,3859.7467075199997,81.49517621999999," 1,670,570 "," 812,146 "," 858,389 "," 358,796 ",5," 3,024 ",552," 1,630,934 "," 39,636 ",35,1670570
Busia,83.60%,16.40%,746898,146783,743946,"(0.428414, 34.210571)",6,3808.32076372,47.36973598," 893,681 "," 426,252 "," 467,401 "," 198,152 ",5," 1,696 ",527," 488,075 "," 405,606 ",28,893681
Elgeyo Marakwet,85.60%,14.40%,389150,65330,369998,"(0.806011, 35.564093)",5,3958.9948327599996,89.12063626999999," 454,480 "," 227,317 "," 227,151 "," 99,861 ",5," 3,032 ",150," 369,998 "," 84,482 ",12,454480
Embu,83.90%,16.10%,510838,97761,516212,"(-0.5982, 37.653906)",2,4191.632815919999,-66.142974," 608,599 "," 304,208 "," 304,367 "," 182,743 ",3," 2,821 ",216," 516,212 "," 92,387 ",24,608599
Garissa,76.50%,23.50%,643299,198054,623060,"(-0.564679, 40.408457)",7,4498.26943324,-62.43655703," 841,353 "," 458,975 "," 382,344 "," 141,394 ",6," 44,736 ",19," 623,060 "," 218,293 ",34,841353
Homa Bay,85.70%,14.30%,969813,162137,963794,"(-0.640985, 34.411083)",18,3830.6417595599996,-70.87371145," 1,131,950 "," 539,560 "," 592,367 "," 262,036 ",4," 3,153 ",359," 963,794 "," 168,156 ",23,1131950
Isiolo,56.50%,43.50%,151344,116658,143294,"(0.949302, 38.614718)",7,4298.59040776,104.96432214," 268,002 "," 139,510 "," 128,483 "," 58,072 ",5," 25,350 ",11," 143,294 "," 124,708 ",9,268002
Kajiado,58.60%,41.40%,654542,463298,687312,"(-2.221971, 36.980268)",10,4116.64343376,-245.68333346999998," 1,117,840 "," 557,098 "," 560,704 "," 316,179 ",4," 21,871 ",51," 687,312 "," 430,528 ",38,1117840
Kakamega,84.80%,15.20%,1583491,284088,1660651,"(0.308499, 34.654844)",15,3857.7772340799993,34.11073443," 1,867,579 "," 897,133 "," 970,406 "," 433,207 ",4," 3,020 ",618," 1,660,651 "," 206,928 ",40,1867579
Kericho,61.30%,38.70%,553215,348562,590690,"(-0.297842, 35.319833)",13,3931.80380956,-32.93238994," 901,777 "," 450,751 "," 451,008 "," 206,036 ",4," 2,436 ",370," 758,339 "," 143,438 ",28,901777
Kiambu,39.20%,60.80%,948020,1469715,1673785,"(-1.060698, 36.79929)",4,4096.4969628,-117.28137785999998," 2,417,735 "," 1,187,146 "," 1,230,454 "," 795,241 ",3," 2,539 ",952," 1,623,282 "," 794,453 ",135,2417735
Kilifi,74.30%,25.70%,1079797,373990,1109735,"(-3.279972, 39.63501)",20,4412.1693132,-362.66650403999995," 1,453,787 "," 704,089 "," 749,673 "," 298,472 ",5," 12,540 ",116," 1,109,735 "," 344,052 ",25,1453787
Kirinyaga,84.20%,15.80%,513999,96412,528054,"(-0.517766, 37.302006)",1,4152.459307919999,-57.24938661999999," 610,411 "," 302,011 "," 308,369 "," 204,188 ",3," 1,478 ",413," 528,054 "," 82,357 ",31,610411
Kisii,78.50%,21.50%,994431,272429,1263559,"(-0.782524, 34.766895)",18,3870.2507513999994,-86.52367867999999," 1,266,860 "," 605,784 "," 661,038 "," 308,054 ",4," 1,323 ",958," 1,152,282 "," 114,578 ",38,1266860
Kisumu,47.60%,52.40%,550039,605535,968909,"(-0.167225, 34.953647)",13,3891.0399840399996,-18.49006825," 1,155,574 "," 560,942 "," 594,609 "," 300,745 ",4," 2,085 ",554," 968,909 "," 186,665 ",23,1155574
Kitui,86.20%,13.80%,979219,156968,1012709,"(-1.519146, 38.376101)",17,4272.02756332,-167.97197322," 1,136,187 "," 549,003 "," 587,151 "," 262,942 ",4," 30,430 ",37," 1,012,709 "," 123,478 ",33,1136187
Kwale,81.90%,18.10%,709874,156946,649931,"(-4.242667, 39.174233)",12,4360.87561756,-469.11169019," 866,820 "," 425,121 "," 441,681 "," 173,176 ",5," 8,267 ",105," 649,931 "," 216,889 ",18,866820
Laikipia,75.20%,24.80%,389831,128749,399227,"(0.311627, 36.814178)",3,4098.15429496,34.45659739," 518,580 "," 259,440 "," 259,102 "," 149,271 ",3," 9,532 ",54," 399,227 "," 119,353 ",18,518580
Lamu,80.10%,19.90%,115235,28685,101539,"(-2.03752, 40.688214)",14,4529.41198248,-225.2885864," 143,920 "," 76,103 "," 67,813 "," 37,963 ",4," 6,253 ",23," 101,539 "," 42,381 ",4,143920
Machakos,48%,52%,682409,739523,1098584,"(-1.327138, 37.352277)",4,4158.05547564,-146.74164865999998," 1,421,932 "," 710,707 "," 711,191 "," 402,466 ",4," 6,043 ",235," 1,098,584 "," 323,348 ",34,1421932
Makueni,88.20%,11.80%,871196,116457,884527,"(-2.211917, 37.865047)",17,4215.137032039999,-244.57166269," 987,653 "," 489,691 "," 497,942 "," 244,669 ",4," 8,170 ",121," 884,527 "," 103,126 ",20,987653
Mandera,81.90%,18.10%,710527,156930,1025756,"(3.46712, 40.704671)",2,4531.243975719999,383.3594584," 867,457 "," 434,976 "," 432,444 "," 125,763 ",7," 25,940 ",33," 1,025,756 "," (158,299)",37,867457
Marsabit,78%,22%,358707,101078,291166,"(2.772167, 37.76822)",7,4204.3582504,306.51850519," 459,785 "," 243,548 "," 216,219 "," 77,495 ",6," 70,944 ",6," 291,166 "," 168,619 ",18,459785
Meru,88%,12%,1360701,185013,1591533,"(0.159398, 37.750761)",11,4202.4147145199995,17.62463686," 1,545,714 "," 767,698 "," 777,975 "," 426,360 ",4," 7,006 ",221," 1,356,301 "," 189,413 ",41,1545714
Migori,66%,34%,737244,379192,917170,"(-1.008592, 34.42681)",18,3832.3924892,-111.52001743999999," 1,116,436 "," 536,187 "," 580,214 "," 240,168 ",5," 2,614 ",427," 917,170 "," 199,266 ",35,1116436
Mombasa,0%,100%,0,1208333,939370,"(-3.998813, 39.632129)",12,4411.84860028,-442.14875341," 1,208,333 "," 610,257 "," 598,046 "," 378,422 ",3,220," 5,495 "," 939,370 "," 268,963 ",30,1208333
Murang'a,83.70%,16.30%,884653,171987,892078,"(-0.804314, 37.035566)",1,4122.79920712,-88.93299898," 1,056,640 "," 523,940 "," 532,669 "," 318,105 ",3," 2,524 ",419," 942,581 "," 114,059 ",31,1056640
Nairobi,0%,100%,0,4397073,3138369,"(-1.296975, 36.844534)",4,4101.53352488,-143.40652575," 4,397,073 "," 2,192,452 "," 2,204,376 "," 1,506,888 ",3,704," 6,247 "," 3,138,369 "," 1,258,704 ",245,4397073
Nakuru,54.20%,45.80%,1170967,991235,1603325,"(-0.385212, 36.036261)",11,4011.55657452,-42.592890839999995," 2,162,202 "," 1,077,272 "," 1,084,835 "," 616,046 ",4," 7,462 ",290," 1,603,325 "," 558,877 ",95,2162202
Nandi,86.40%,13.60%,765398,120313,752965,"(0.143371, 35.156125)",13,3913.579835,15.852531469999999," 885,711 "," 441,259 "," 444,430 "," 199,426 ",4," 2,856 ",310," 752,965 "," 132,746 ",22,885711
Narok,93.10%,6.90%,1078278,79595,850920,"(-1.227452, 35.686784)",8,3972.65279488,-135.71936764," 1,157,873 "," 579,042 "," 578,805 "," 241,125 ",5," 17,950 ",65," 850,920 "," 306,953 ",26,1157873
Nyamira,86%,14%,520638,84938,486975,"(-0.644917, 34.955612)",13,3891.25872784,-71.30847268999999," 605,576 "," 290,907 "," 314,656 "," 150,669 ",4,897,675," 598,252 "," 7,324 ",13,605576
Nyandarua,81.50%,18.50%,519982,118307,596268,"(-0.374727, 36.494076)",3,4062.52054032,-41.433564389999994," 638,289 "," 315,022 "," 323,247 "," 179,686 ",4," 3,286 ",194," 596,268 "," 42,021 ",20,638289
Nyeri,75.50%,24.50%,573502,185662,693558,"(-0.407168, 36.965186)",19,4114.96450552,-45.02056576," 759,164 "," 374,288 "," 384,845 "," 248,050 ",3," 3,325 ",228," 693,558 "," 65,606 ",31,759164
Samburu,82.70%,17.30%,256750,53577,223947,"(1.183862, 37.184377)",19,4139.364847639999,130.89962133999998," 310,327 "," 156,774 "," 153,546 "," 65,910 ",5," 21,065 ",15," 223,947 "," 86,380 ",7,310327
Siaya,89.20%,10.80%,886322,106861,842304,"(0.070277, 34.293463)",15,3817.54830116,7.77052789," 993,183 "," 471,669 "," 521,496 "," 250,698 ",4," 2,530 ",393," 842,304 "," 150,879 ",18,993183
Taita Taveta,77.40%,22.60%,263731,76940,284657,"(-3.551502, 38.376101)",10,4272.02756332,-392.68957614," 340,671 "," 173,337 "," 167,327 "," 96,429 ",4," 17,152 ",20," 284,657 "," 56,014 ",7,340671
Tana River,85%,15%,268481,47462,240075,"(-1.584971, 39.536272)",14,4401.17779904,-175.25024347," 315,943 "," 158,550 "," 157,391 "," 68,242 ",5," 37,951 ",8," 240,075 "," 75,868 ",2,315943
Tharaka Nithi,93.40%,6.60%,367383,25794,130098,"(-0.227324, 37.882411)",2,4217.06999252,-25.135214679999997," 393,177 "," 193,764 "," 199,406 "," 109,860 ",4," 2,564 ",153," 365,330 "," 27,847 ",7,393177
Trans Nzoia,79.60%,20.40%,787835,202506,818757,"(1.030597, 34.949297)",5,3890.55574204,113.95311029," 990,341 "," 489,107 "," 501,206 "," 223,808 ",4," 2,495 ",397," 818,757 "," 171,584 ",28,990341
Turkana,85.80%,14.20%,795072,131904,855399,"(3.318344, 35.401457)",9,3940.89019324,366.90929608," 926,976 "," 478,087 "," 448,868 "," 164,519 ",6," 68,233 ",14," 855,399 "," 71,577 ",21,926976
Uasin Gishu,61.40%,38.60%,713668,449518,894179,"(0.555288, 35.306307)",6,3930.2980952399994,61.398194159999996," 1,163,186 "," 580,269 "," 582,889 "," 304,943 ",4," 3,392 ",343," 894,179 "," 269,007 ",28,1163186
Vihiga,68.60%,31.40%,404798,185215,554622,"(0.304142, 34.943582)",6,3889.9195482399996,33.62898094," 590,013 "," 283,678 "," 306,323 "," 143,365 ",4,564," 1,047 "," 554,622 "," 35,391 ",12,590013
Wajir,85.40%,14.60%,666949,114314,661941,"(1.895541, 40.07933)",16,4461.6310156,209.58996836999998," 781,263 "," 415,374 "," 365,840 "," 127,932 ",6," 56,773 ",14," 661,941 "," 119,322 ",49,781263
West Pokot,91.70%,8.30%,569505,51736,512690,"(1.575837, 35.316901)",9,3931.47741932,174.24029708999998," 621,241 "," 307,013 "," 314,213 "," 116,182 ",5," 9,123 ",68," 512,690 "," 108,551 ",15,621241
